Date,Open,High,Low,Close,Tick_Vol
9/27/2020,1860.53,1916.96,1848.85,1898.4,446932
10/4/2020,1901.04,1930.3,1872.74,1929.55,388225
10/11/2020,1929.41,1933.13,1882.42,1898.77,427918
10/18/2020,1899.64,1931.265,1894.28,1900.98,396923
10/25/2020,1902.99,1911.25,1859.92,1878.64,450228
11/1/2020,1878.05,1960.29,1873.365,1950.08,507305
11/8/2020,1952.54,1965.41,1850.46,1888.93,503328
11/15/2020,1888.44,1898.97,1852.69,1870.3,390416
11/22/2020,1870.52,1876.06,1774.24,1786.64,339970
11/29/2020,1787.09,1848.09,1764.55,1837.97,366475
12/6/2020,1838.73,1875.19,1822.09,1839.08,363323
12/13/2020,1840.84,1896.14,1819.04,1880.37,355872
12/20/2020,1884.28,1906.63,1855.07,1879.19,308305
12/27/2020,1883.92,1900.78,1869.23,1897.99,246417
1/3/2021,1904.85,1959.26,1828.18,1848.47,479003
1/10/2021,1847.88,1863.7,1817.04,1826.68,445935
1/17/2021,1828.06,1874.98,1802.44,1855.26,460747
1/24/2021,1853.92,1875.74,1831.365,1847.48,585268
1/31/2021,1864.82,1871.6,1784.96,1814.18,637942
2/7/2021,1814.91,1855.34,1807.73,1823.94,501256
2/14/2021,1824.51,1826.91,1760.58,1783.69,616805
2/21/2021,1780.94,1815.865,1717.14,1733.19,905095
2/28/2021,1731.45,1759.73,1687.2,1700.03,889201
3/7/2021,1704.99,1739.805,1676.755,1726.99,772615
3/14/2021,1727.61,1755.449,1719.17,1745.03,684292
3/21/2021,1745.81,1746.89,1721.53,1732.35,584025
3/28/2021,1732.08,1733.14,1677.81,1728.724,445860
4/4/2021,1727.09,1758.58,1721.15,1743.5,474198
4/11/2021,1740.5,1783.725,1723.64,1776.07,495245
4/18/2021,1777.29,1797.79,1763.54,1776.99,519646
4/25/2021,1774.83,1789.895,1756.19,1768.74,469201
5/2/2021,1767.81,1843.22,1765.93,1830.84,485437
5/9/2021,1832.38,1845.517,1808.7,1842.53,573909
5/16/2021,1842.39,1889.98,1842.15,1880.62,537751
5/23/2021,1880.91,1912.68,1872.7,1903.16,501493
5/30/2021,1903.13,1916.49,1855.89,1890.91,458464
6/6/2021,1891.57,1903.65,1869.89,1876.84,461878
6/13/2021,1876.45,1877.61,1760.81,1763.69,567455
6/20/2021,1767.18,1794.81,1766.4,1781.34,501592
6/27/2021,1780.61,1794.97,1750.69,1787.17,468463
7/4/2021,1786.33,1818.31,1784.37,1808.21,445739
7/11/2021,1807.81,1833.96,1791.55,1811.82,444106
7/18/2021,1811.87,1824.84,1789.87,1801.89,484882
7/25/2021,1802.23,1832.58,1792.47,1813.79,458759
8/1/2021,1813.89,1831.63,1758.6,1762.85,424114
8/8/2021,1763.13,1779.928,1609.54,1779.54,476555
8/15/2021,1777.16,1795.46,1770.75,1780.74,466795
8/22/2021,1779.53,1819.14,1776.42,1817.04,434326
8/29/2021,1819.25,1833.9,1801.62,1827.47,414557
9/5/2021,1828.25,1830.18,1782.27,1787.14,416967
9/12/2021,1789.39,1808.535,1745.21,1754.32,450374
9/19/2021,1754.1,1787.22,1737.78,1750.14,453153
9/26/2021,1749.6,1764.19,1721.57,1760.58,515178
10/3/2021,1761.05,1781.25,1745.866,1756.86,466023
10/10/2021,1756.77,1800.465,1750.08,1767.35,447519
10/17/2021,1766.53,1813.77,1760.22,1792.08,506470
10/24/2021,1792.81,1810.3,1771.9,1782.99,497347
10/31/2021,1783.02,1818.18,1758.79,1817.94,440257
11/7/2021,1817.49,1868.54,1812.351,1864.68,457540
11/14/2021,1866.13,1877.14,1842.96,1845.43,447281
11/21/2021,1845.61,1848.99,1778.46,1791.53,443420
11/28/2021,1787.27,1808.66,1718.19,1782.62,517672
12/5/2021,1783.26,1793.05,1770.05,1782.5,389924
12/12/2021,1782.01,1814.154,1753,1797.6,386167
12/19/2021,1799.58,1810.64,1784.87,1808.481,270874
12/26/2021,1807.67,1830.22,1789.371,1829.29,298234
1/2/2022,1829.07,1831.63,1782.61,1796.05,412102
1/9/2022,1794.99,1829.04,1790.31,1817.52,405144
1/16/2022,1817.78,1847.87,1805.7,1834.86,444276
1/23/2022,1833.07,1853.77,1780.14,1790.98,495866
1/30/2022,1790.36,1814.8,1785.47,1807.8,397930
2/6/2022,1806.86,1865.38,1806.44,1857.87,434045
2/13/2022,1858.89,1902.38,1844.41,1897.09,496661
2/20/2022,1898.92,1974.42,1878.11,1888.94,540984
2/27/2022,1917.18,1970.51,1890.86,1969.84,594198
3/6/2022,1973.17,2070.3,1958.65,1987.85,685791
3/13/2022,1986.88,1989.925,1895.17,1921.11,440229
3/20/2022,1920.76,1966.04,1910.7,1957.64,384818
3/27/2022,1957.31,1958.98,1890.02,1925.1,468402
4/3/2022,1924.73,1948.024,1915.11,1946.98,416301
4/10/2022,1926.55,1981.47,1926.55,1973.38,355241
4/17/2022,1973.71,1998.23,1926.56,1930.95,489942
4/24/2022,1928.11,1934.32,1872.01,1896.2,517530
5/1/2022,1896.55,1909.66,1850.28,1882.62,472006
